X,Y
343,181
304,138
341,397
29,155
286,80
26,174
185,302
480,99
11,265
484,115
309,101
157,137
252,497
188,296
174,242
18,411
216,210
370,498
81,161
399,395
443,336
8,207
366,263
378,452
36,278
111,348
6,366
8,147
289,35
65,133
419,324
262,259
400,474
348,200
157,298
13,243
42,212
163,19
160,401
68,459
280,165
260,74
176,43
320,76
272,70
147,414
66,188
352,399
450,84
186,10
452,216
265,339
465,307
194,81
83,254
89,94
87,397
385,352
108,17
172,286
352,369
299,457
333,486
482,437
425,21
85,330
250,11
350,435
485,447
480,402
119,134
231,421
313,346
115,74
445,467
85,384
335,180
274,445
395,455
168,294
166,419
442,340
164,203
56,475
87,140
246,90
15,124
495,480
441,288
107,418
392,41
113,337
101,396
90,255
174,351
455,282
292,206
60,30
486,48
273,121
311,419
437,53
362,102
191,334
27,200
371,202
427,22
336,407
261,43
285,466
57,36
135,391
91,97
239,149
327,77
287,330
226,207
254,103
490,44
315,255
349,241
377,132
363,222
448,59
131,472
271,177
451,380
436,257
162,322
264,353
244,359
392,330
43,385
299,18
133,252
23,256
297,398
58,326
137,450
186,92
243,151
256,216
248,191
186,297
115,213
387,259
182,421
482,163
202,154
60,242
230,444
168,261
412,80
427,6
11,316
233,369
296,102
462,210
80,65
30,267
345,415
9,12
172,85
347,39
354,124
331,250
452,139
476,151
378,143
481,206
223,151
307,352
160,99
237,367
183,283
12,16
139,392
441,46
208,5
101,207
355,311
389,220
97,448
315,379
488,312
444,496
393,133
44,441
458,435
484,129
360,129
483,48
426,316
388,308
5,437
360,179
199,169
173,229
440,429
203,163
416,165
402,305
127,423
192,14
292,39
99,82
430,411
128,339
266,9
126,457
124,276
282,424
38,419
365,144
64,265
308,78
304,263
387,403
189,253
60,408
462,243
96,493
391,461
354,73
463,267
472,299
154,419
495,366
253,457
379,368
484,167
471,398
53,203
351,274
44,346
69,494
473,283
46,59
404,3
21,252
137,431
263,69
151,109
459,367
141,486
133,337
137,352
345,239
326,364
19,427
3,273
260,371
80,329
209,320
390,174
184,287
369,132
44,488
165,399
3,352
208,135
360,26
248,375
496,409
213,350
40,185
383,169
496,477
153,363
243,228
495,153
302,22
411,181
1,443
465,459
463,278
237,361
57,356
321,46
132,313
497,251
125,495
73,397
478,220
236,287
414,480
457,137
152,361
143,314
169,112
125,12
52,166
305,308
232,364
110,301
459,55
118,388
492,447
499,293
