X,Z,Y
-20,400,5
-19.25,370.5625,5
-18.5,342.25,5
-17.75,315.0625,5
-17,289,5
-16.25,264.0625,5
-15.5,240.25,5
-14.75,217.5625,5
-14,196,5
-13.25,175.5625,5
-12.5,156.25,5
-11.75,138.0625,5
-11,121,5
-10.25,105.0625,5
-9.5,90.25,5
-8.75,76.5625,5
-8,64,5
-7.25,52.5625,5
-6.5,42.25,5
-5.75,33.0625,5
-5,25,5
-4.25,18.0625,5
-3.5,12.25,5
-2.75,7.5625,5
-2,4,5
-1.25,1.5625,5
-0.5,0.25,5
0.25,0.0625,5
1,1,5
1.75,3.0625,5
2.5,6.25,5
3.25,10.5625,5
4,16,5
4.75,22.5625,5
5.5,30.25,5
6.25,39.0625,5
7,49,5
7.75,60.0625,5
8.5,72.25,5
9.25,85.5625,5
10,100,5
10.75,115.5625,5
11.5,132.25,5
12.25,150.0625,5
13,169,5
13.75,189.0625,5
14.5,210.25,5
15.25,232.5625,5
16,256,5
16.75,280.5625,5
17.5,306.25,5
18.25,333.0625,5
19,361,5
19.75,390.0625,5
